Tags,Meaning
k3s,k3s is a lightweight Kubernetes distribution.
static-site,"Static sites are websites that have no dynamic components, e.g. databases or server-side scripting languages. A number of static site generators exist in a variety of languages, such as Jekyll, Wintersmith, and Pelican."
molecule,Molecule is a Python package designed to aid in the development and testing of Ansible roles.
scala,"Scala is a general-purpose programming language principally targeting the Java Virtual Machine. Designed to express common programming patterns in a concise, elegant, and type-safe way, it fuses both imperative and functional programming styles. Its key features are:
an advanced static type system with type inference;
function types; pattern-matching; implicit parameters and conversions; operator overloading; full interoperability with Java; concurrency"
hashlib,Hashlib is a Python module that implements a common interface to many different secure hash and message digest algorithms.
rnotebook,
delphi-xe6,"Delphi XE6 is a specific version of Delphi released in April 2014.
"
division,"In mathematics, division (&#247;) is an arithmetic elementary operation."
microservices,An architectural approach to developing a single application as a suite of small individually deployable  services.
amazon-efs,Anything related to Amazon Elastic File System (EFS). It offers an interface for creating and configuring file systems on Amazon EC2 enviroment.
google-sheets-query,Use for question about the QUERY function of Google Sheets.
rabbitmq-exchange,"In RabbitMQ, messages are not published directly to a queue. Instead, the producer sends messages to an exchange. Use this tag only if your question is about the RabbitMQ Exchanges, or if the question revolves around the routing keys or message queues to which the exchange delivers the message for end publishing."
aurelia-dialog,A dialog plugin for Aurelia
release-builds,
babel-polyfill,
a2dp,Advanced Audio Distribution Profile (A2DP)
qdap,qdap (Quantitative Discourse Analysis Package) is an R package designed to assist in quantitative discourse analysis. The package stands as a bridge between qualitative transcripts of dialogue and statistical analysis &amp; visualization.
accelerate,"Make large-scale mathematical computations and image calculations, optimized for high performance."
ordereddict,"Python OrderedDict datatype, which remembers the order entries were added to the dictionary."
mockito-kotlin,"a library for Kotlin that provides helper functions to work with Mockito, a popular mock framework."
python-typing,"For questions related to PEP 484 (Type Hints), PEP 526 (Syntax for Variable Annotations) and the `typing` module."
exactly-once,
qt-installer,"The Qt Installer Framework provides a set of tools and utilities to create installers for the supported desktop Qt platforms: Linux, Microsoft Windows, and Mac OS X."
user-interface,"User Interface (UI) is the system through which people interact with a computer. This tag can be used for UI-related programming questions. Note that there&#39;s a separate Stack Exchange site for User Interfaces, Interactions with the Computer and User Experience design: https://ux.stackexchange.com."
redmon,RedMon is a port monitor that redirects a special printer port to a program. RedMon is commonly used with Ghostscript and a non-PostScript printer to emulate a PostScript printer. RedMon can be used with Ghostscript as a PDF creator.
gitkraken,"GitKraken is a freemium, fully-featured, cross-platform Git desktop client for Windows, Mac &amp; Linux."
static-polymorphism,
counter,A Counter is a container(/bag/multiset/etc.) that keeps track of how many times equivalent values are added.
dart-ffi,
windows-api-code-pack,"The Windows API Code Pack for .NET is esentially a managed API to access Shell functions, that are otherwise not available for .NET Developers."
r-raster,raster is an R package for geographic data analysis and modeling. 
api,"DO NOT USE. Use specific tags like [google-cloud-platform], [facebook], [amazon-web-services] instead or [api-design]  where applicable. Questions asking to recommend or find an API are off-topic."
if-statement,"An &quot;if&quot; statement is a flow control structure in most programming languages that branches execution flow depending on a binary condition, generally evaluated at runtime. If statements are also commonly also called conditionals.
When using this tag please also include an appropriate language tag, such as e.g. &quot;java&quot; if your question is language-specific."
angular-i18n,"angular-i18n is part of the Angular framework, which provides i18n features like localization (dates, number, percentages, and currencies), text translations, pluralization and alternative text. For the older AngularJS (1.x) web framework, use the angular-translate tag."
avalonia,
mp3,"MPEG-1 or MPEG-2 Audio Layer III,  more commonly referred to as MP3, is a patented digital audio encoding format using a form of lossy data compression. It is a common audio format for consumer audio storage, as well as a de facto standard of digital audio compression for the transfer and playback of music on digital audio players."
facet,Facetting is a technique for data visualization which makes it easier to compare groups inside your data.
i386,i386 is the mark used on the Intel 80386 processor
powerbi,"Power BI is a free, self-service analytics tool available individually or integrated with Microsoft Excel, Office 365 and all major Databases and analytics tools.  "
frp,Functional reactive programming is programming paradigm for reactive programming
catamorphism,Use catamorphism in questions to refer to functions which recursively iterate through a data structure to return a new structure. The new structure is derived from the process of applying one or more functions to the data at each iteration along with the result of previous iterations.
protocol-buffers-3,
fairplay,"FairPlay is a digital rights management (DRM) technology created by Apple Inc., based on technology created by the company Veridisc. FairPlay is built into the QuickTime multimedia software and used by the iPhone, iPod, iPad, Apple TV, iTunes, and iTunes Store and the App Store."
nsnumberformatter,A Cocoa class for formatting and parsing numerical values. Use this tag for questions about using `NSNumberFormatter`.
google-api-js-client,"This code is written by Google, this compact and efficient client library provides access to any of Google&#39;s RESTful APIs "
propositional-calculus,
uiactivityindicatorview,"On iOS, you can use an activity indicator to show that a task is in progress. An activity indicator appears as a “gear” that is either spinning or stopped.

You control when an activity indicator animates by calling the startAnimating and stopAnimating methods. To automatically hide the activity indicator when animation stops, set the hidesWhenStopped property to YES."
serilog,"Serilog is a .NET library which provides diagnostic logging to files, the console, and so-on. Consider using this tag along with the .net framework version you are using for extra clarity"
apptrackingtransparency,
postgresql,"PostgreSQL is an open-source, relational database management system (RDBMS) available for all major platforms including Linux, UNIX, Windows and OS X. Mention your version of Postgres when asking questions.
Consider dba.stackexchange.com for questions concerning administration or advanced features."
phpoffice-phpspreadsheet,
heightmap,Heightmap is texture containing individual heights used to store terrain data.
static-analysis,"&quot;Static Analysis&quot; refers to the software tools (or their use) to analyze application code for arbitrary properties, such as errors (uninitialized variables, possible SQL injection-attack, is this code-dead, can an argument be null,...) or structure (what is the call graph for this code? is there duplicate code? what information is passed between components?)."
ckeditor5,"CKEditor 5 is a set of ready-to-use rich text editors created with a powerful framework that enables you to create any kind of text editing solution and include real-time collaborative editing inside.

Use this tag for any CKEditor 5 related questions. Use the &quot;ckeditor4.x&quot; tag for questions about CKEditor 4."
lettuce,"Lettuce can stand for two things:

* A behavior-driven development (BDD) tool for Python: http://lettuce.it/
* A Redis client for Java: http://lettuce.io"
spring-oauth2,
fluentd,"Fluentd is open-source and distributed data collector, which receives logs in JSON format, buffers them, and sends them to other systems like Amazon S3, MongoDB, Hadoop, Loki(Grafana system) or other Fluentds."
sentence-similarity,Sentence similarity is a topic of Natural Language Processing that tries to find a semantic or syntactic matematical similarity between two or more sentences
rm,"rm is a basic UNIX command used to remove files, directories, and other items from the filesystem."
tostring,&quot;toString&quot; or &quot;ToString&quot; is a major formatting method or function used in high level programming languages. It converts an Object to its string representation so that it is suitable for display.
analytics,For questions related to analytics methods and tools.
kingfisher,"A lightweight, pure-Swift library for downloading and caching images from the web."
routing,"Routing is the process of selecting paths in a network along which to send network traffic.

For the process of associating URLs to content, use the tag url-routing instead."
google-admin-sdk,"Use for questions about using APIs and services that are part of the Google (G Suite) Admin SDK, platform for developers that write applications to manage G Suite domains, migrate from and integrate with existing IT infrastructure, create users, update settings, audit activity, and more."
android-studio-3.0,"Use for questions about using Android Studio, an official IDE targeted at Android development. Do NOT use for questions about programming for Android in general; instead use [android]."
for-await,
argc,"The number of arguments given to the program, found as a parameter to main in some languages, notably C."
git-filter,
polymer,The Polymer library provides a set of features that make it easy and fast to make custom elements that work like standard DOM elements.
treeset,a Java set implementation sorting its items upon insertion; provided by JRE/JDK.
bioinformatics,"For programming-related questions related to Bioinformatics. Other questions do not belong here, but might be on-topic at https://bioinformatics.stackexchange.com/."
automic,
alamofire5,
lets-encrypt,"LET&#39;S ENCRYPT QUESTIONS MUST BE PROGRAMMING RELATED. Let’s Encrypt is a free, automated, and open certificate authority provided by the Internet Security Research Group."
raspberry-pi3,"GENERAL RPI QUESTIONS ARE OFF-TOPIC. General questions may be asked on https://raspberrypi.stackexchange.com Use the tag for questions that apply specifically to the Raspberry Pi Model 3, NOT other models."
pyephem,"PyEphem provides the Python language with routines for computing the location of celestial objects like the sun, moon, and planets, as well as for any asteroids, comets, and earth satellites for which the caller can provide orbital elements. Rise, set, and transit times can be computed for any object, and basic coordinate computations are also supported."
angular-dependency-injection,Use this tag if your question is specially about the behavior of the angular dependency injection framework.
uwsgi,"uWSGI is a fast, self-healing and developer/sysadmin-friendly application container server coded in pure C."
pyautogui,pyautogui is a cross-platform GUI automation Python module used to programmatically control the mouse and  keyboard.
rust-tokio,"Tokio is an event-driven, non-blocking I/O platform for writing asynchronous applications with the Rust programming language."
android-native-library,
quicktime,QuickTime is an extensible proprietary multimedia framework developed by Apple Inc. A framework called qtkit can be used to develop multimedia applications on top of quicktime.
cybersecurity,
google-play-billing,
styling,styling is the process of binding visual metadata to a document
netstat,"netstat (network statistics) is a command-line tool that displays network connections (both incoming and outgoing), routing tables, and a number of network interface statistics. It is available on Unix, Unix-like, and Windows NT-based operating systems."
buildx,
resteasy,A JBoss project that provides various frameworks to help build RESTful web services and Java applications
xlrd,xlrd is a python library to extract data from Microsoft Excel spreadsheet files
low-level-api,
java-7,"Java SE version 7 was released in 2011. The new features, in comparison to the version 6, include dynamic language support, compressed pointers, small language extensions, elliptic curve cryptography, new network protocols, the ability to use Strings as case values in a switch statement, and various system library extensions."
enterprise,"Enterprise refers to software intended to facilitate the operation of one or more types of business entities, such as cooperatives, companies, universities, and government organizations."
quarter,
kombu,Kombu is an AMQP messaging framework for Python.
shared,"In VB.NET, the Shared keyword is roughly equivalent to the static keyword used by many other languages."
android-networking,The Android networking subsystem. Use this tag for the Android-specific network programming only.
jquery-validate,The jQuery Validate plugin is a jQuery plugin by J&#246;rn Zaefferer. Its purpose is to perform client-side form validation of user entered data.
flask-appbuilder,"Simple and rapid application development framework, built on top of Flask. includes detailed security, auto CRUD generation for your models, google charts and much more."
basic-authentication,Basic authentication is a method for a web browser or other client program to provide a user name and password when making a request.
rdd,Resilient Distributed Datasets (RDDs) are a distributed memory abstraction that allows programmers to perform in-memory computations on large clusters while retaining the fault tolerance of data flow models like MapReduce.
tokenize,Tokenizing is the act of splitting a string into discrete elements called tokens.
google-picker,Google Picker is a &quot;File Open&quot; dialog for the information stored in Google servers.
celery-task,celery-task is a building block of Celery distributed task queue system
nsurlprotocol,NSURLProtocol is an abstract class that provides the basic structure for performing protocol-specific loading of URL data. 
angular-cli,"The Angular CLI is a command line interface for building, managing and deploying Angular (version 2+) applications."
http4k,http4k is an HTTP toolkit written in Kotlin that enables the serving and consuming of HTTP services in a functional and consistent way.
twos-complement,"Two&#39;s complement is a mathematical operation on binary numbers, as well as a binary signed number representation based on this operation."
vue-cli,"Vue CLI is the official tooling for bootstrapping and maintaining your Vue projects.

Offering a feature rich and extensible platform for using (or developing your own) plugins and preset in zero-configuration fashion, as well as future-proofing the upgradebility of your project and tooling configurations."
intel-tsx,"Intel&#39;s Transactional Synchronization Extension is transactional memory, allowing lock-free atomic transactions that read and write multiple memory locations."
build-dependencies,Issues regarding defining builds with well-defined dependencies library versions (for Java mainly using maven&#39;s Dependency management)
asp.net-core-logging,"For questions about ILogger based logging API provided by Microsoft Asp.Net Core.
https://docs.microsoft.com/en-us/aspnet/core/fundamentals/logging
Also use this for questions related to built-in logging providers.
For questions related to specific 3rd party Logging providers, add corresponding tag as well."
azure-data-lake-gen2,Ask question related to Azure Data Lake Storage Gen2.
ipopt,"Ipopt (Interior Point OPTimizer, pronounced eye-pea-Opt) is a software package for large-scale ​nonlinear optimization. Ipopt is written in C++ and is released as open source code under the Eclipse Public License (EPL). It is available from the ​COIN-OR initiative."
event-sourcing,Event Sourcing is a design pattern that captures all changes to an application&#39;s state as a sequence of events.
data-caching,"For questions relevant with caching of the data, not the instructions."
checkmarx,"Source code analyzer software which provides identifying, tracking and repairing technical and logical flaws."
tsconfig,tsconfig.json files are configuration for TypeScript projects. They contain the command line options to tell TSC (the TypeScript transpiler) how to build the Javascript output.
hardware,Programming questions related to the physical components of a computer.  Please specify the model of your hardware in your question.
graylog,Graylog is an integrated Open Source log capture and analysis solution for operational intelligence. 
hp-uft,Unified Functional Testing (UFT) is a commercial Software Test Automation tool by Micro Focus.
javascript-intellisense,IntelliSense helps you write code faster and with fewer errors by providing information while you code. 
ef-core-2.2,Use this tag if you have questions regarding the 2.2 version of Entity Framework for .NET Core.
with-statement,"A number of languages have With statements. The Python with statement creates a new context, with associated context manager. When the context (a code block) is exited again, the context manager is notified. Please use &quot;common-table-expression&quot; for the SQL WITH construction."
defmacro,
odoo-10,"Odoo is a suite of open-source business apps written in Python and released under the LGPL license since version 9 (previously AGPL). It is used by 2 million users worldwide to manage companies of all different sizes. The main Odoo components are the server, 260 core modules (also called official modules) and around 4000 community modules."
assets,"1. Non-code files packed with an application (example, data or media files).

2. From a security point of view - any data or resource that should be (or can be) protected."
brightness,An attribute of visual perception in which a source appears to be radiating or reflecting light.
fsharp.data.typeproviders,
android-ndk,"The Android Native Development Kit (NDK) is a companion tool to the Android SDK that lets build performance-critical portions of apps in native code or port existing libraries in C/C++ to Android. It provides headers and libraries that allows to build activities, handle user input, use hardware sensors, access application resources, and more, when programming in C/C++."
google-slides,Google Slides is a free presentation program part of a software office suite offered by Google within its Google Drive service. Google Slides allows users to create and edit slides online while collaborating in real-time. Use with [google-apps-script] tag where possible.
java-font,This tag supports topics related to font loading and font registration in Java. 
neovim,Neovim is a fork of Vim that aims to improve upon Vim&#39;s out-of-the-box experience and allow for more powerful plugins and GUIs.
storyboard,"A storyboard is a graphic organizer in the form of illustrations or images displayed in sequence for the purpose of pre-visualizing a motion picture, animation, motion graphic or interactive media sequence. "
dependabot,Dependabot creates pull requests to keep your dependencies secure and up-to-date.
hessian,Hessian is a simple binary protocol for connecting web services.
iaik-jce,IAIK-JCE is a crypto toolkit which means &quot;Institute for Applied Information Processing and Communication - Java Cryptography Extension&quot;
six,Six provides simple utilities for wrapping over differences between Python 2 and Python 3.
google-conscrypt,
flutter-desktop,"Dedicated to questions about Flutter desktop implementation. Use (flutter) instead for questions about flutter in general, or (flutter-web) if question are about issues using flutter to design web applications."
phonegap-build," &#39;Phonegap Build&#39;, an Adobe cloud service, allows you to upload your HTML, CSS, and Javascript to their build service and returns you your complete package. It removes the need for local build servers and SDK&#39;s for each destination platform."
parsing,Parsing refers to breaking an artifact into its constituent elements and capturing the relationship between those elements. This tag isn&#39;t for questions about the self hosted Parse Platform (use the [parse-platform] tag) or parse errors in a particular programming language (use the appropriate language tag instead).
dma,Direct memory access (DMA) is a feature of modern computers and microprocessors that allows certain hardware subsystems within the computer to access system memory for reading and/or writing independently of the central processing unit.
gun,"GUN is a real-time, distributed, offline-first, graph database engine."
smartscreen,For questions about scanning/blocking URLs with Windows SmartScreen cloud-based anti-phishing and anti-malware component.
braintree-sandbox,Use this tag only for issues related to the Braintree sand-boxing system for other question use the generic braintree tag.
significance,
r-grid,grid is an R package providing low-level plotting facilities.
mongoose-schema,Everything in the Mongoose ODM starts with a Schema. Each schema maps to a MongoDB collection and defines the shape of the documents within that collection.
pycairo,"A set of Python bindings for the cairo graphics library. 
"
srp-protocol,The Secure Remote Password protocol (SRP) is a password-authenticated key agreement protocol in order to establish an encrypted channel based on a password.
line-spacing,
hosting,Hosting refers to the commercial service offered by companies that let you run websites using their servers. Questions about server technology should be asked at serverfault.com and more general questions should be asked at webmasters.stackexchange.com.
android-facebook,"The Facebook SDK for integrating an Android app with Facebook. Questions should involve the usage and development of the Android Facebook SDK, not merely about using Facebook."
quantifiers,"In logic, quantification is the binding of a variable ranging over a domain. The variable thereby becomes bound by an operator called a quantifier."
sqlcipher-android,encrypt/decrypt Android Sqlite  DataBase
postman,"Postman is a toolchain for API developers to share, test, document and monitor APIs."
pyppeteer,Unofficial Python port of puppeteer JavaScript (headless) chrome/chromium browser automation library.
android-linearlayout,"LinearLayout is one of the basic layouts in Android. It arranges its children one after the another, either horizontally or vertically."
likely-unlikely,"likely and unlikely are hints to a compiler that a conditional is likely (or not) to run, informing its decision about how to lay out branches in a way that&#39;s good for the pipeline and/or I-cache locality, or whether or not to make branchless asm."
cupertinopicker,"Cupertino Picker is a class for an iOS styled picker for date, time, etc."
use-state,"useState related questions for reactjs hooks api.
"
darwin,"Darwin is the open-source core of macOS, iOS, tvOS and watchOS. It is derived from NeXTStep, Mach, and *BSD; the kernel is called XNU."
spill-range,
accessibilityservice,An Android service which runs in the background and receives callbacks by the system when accessibility events are fired.
nettopologysuite,NetTopologySuite is a direct-port of all the functionalities offered by the [JTS] Topology Suite
i2c,I2C is a two-wire serial bus. It is used to interface with low-speed peripherals in embedded systems and computer motherboards.
lando,"Lando is a free, open source, cross-platform, local development environment and DevOps tool built on Docker container technology."
inject,"Design pattern to reduce coupling between components, by dynamically injecting into a software component dependencies that it needs to function."
build-tools,"Build-tools are tools designed to help and automate the process of compiling, packaging and deploying software."
swarm,Swarm is a web-based code review and collaboration tool for Perforce.
kube-dns,
scheduling,"In computer science, scheduling is the method by which threads, processes or data flows are given access to system resource."
toupper,"In C / C++ toupper function converts a given character to uppercase according to the character conversion rules defined by the currently installed C locale.

In the default &quot;C&quot; locale, the following lowercase letters abcdefghijklmnopqrstuvwxyz are replaced with respective uppercase letters ABCDEFGHIJKLMNOPQRSTUVWXYZ."
flutter-hotreload,
redisson,"Redisson - distributed Java objects and services (Set, Multimap, SortedSet, Map, List, Queue, BlockingQueue, Deque, BlockingDeque, Semaphore, Lock, AtomicLong, CountDownLatch, Publish / Subscribe, Bloom filter, Remote service, Spring cache, Executor service, Live Object service, Scheduler service) on top of Redis server"
intermediate-language,"An intermediate language, in compiler design, is a low-level language that typically resembles an idealized assembly language, often a textual representation of bytecode for a virtual machine. For .NET&#39;s CIL, use the [cil] tag."
war,"Web Application Archive - Is Jar file used to distribute JavaServer Pages, Java Servlets, Java classes, XML files, tag libraries and static Web pages (HTML and related files) that together constitute a Web application."
javaparser,A Java Parser with AST (abstract syntax tree) generation and visitor support.
neupy,NeuPy is a Python library for Artificial Neural Networks and Deep Learning that uses Theano as a backend.
ipatool,
io,"In computing, input/output, or I/O, refers to the communication between an information processing system (such as a computer), and the outside world, possibly a human, or another information processing system."
population,A population is a complete set of items that share at least one common characteristic.
javac,"javac is the primary Java compiler, included in the Java Development Kit (JDK) from Sun Microsystems (now Oracle), and also in versions from other vendors."
reportprogress,
push-notification,"Push notifications are alerts, badges, or sounds which are pushed to a mobile device from a remote server.

Apple delivers push notifications via the Apple Push Notification Service (APNS). Android devices receive push notifications via the Google Cloud Messaging (GCM) service. In the past, Android devices used the Cloud to Device Messaging (C2DM) framework. Windows Phone apps receive push notifications either via MPNS or the newer WNS."
react-final-form,Subscription-based form state management for React
docsify,
avaudioengine,"Use this tag when your question is about the AVAudioEngine class, which is part of the AVFoundation framework."
sfspeechrecognizer,Use this tag for iOS 10+ Speech framework&#39;s main class SFSpeechRecognizer.
hl7,The HL7 (Health Level Seven) messaging standard is a communication standard for exchanging electronic information in the domain of health care.
yeoman-generator,Yeoman generator is a scaffolding system built on top of Node.js
branching-and-merging,"In version control, branches represent parallel lines of development. Merging is the action that integrates changes made in different branches."
pcap,"pcap (packet capture) consists of an application programming interface (API) for capturing network traffic. The pcap file format is a binary format, and is the de facto standard format for network packet capture."
messaging,"Messaging refers to the design pattern whereby discrete messages are used for communication between objects or processes. Messages can be simple data, complex data structures, or even code. This pattern is often used for asynchronous or parallel computing."
fragmentmanager,"
FragmentManager is an interface for interacting with Fragment objects inside an Activity in Android. While the FragmentManager API was introduced in HONEYCOMB, a version of the API at is also available for use on older platforms through FragmentActivity.

For more information about using fragments, read the Fragments developer guide."
google-api-ruby-client,The Google API Ruby Client makes it trivial to discover and access Google APIs.
manifest,"A manifest is a file containing metadata about an application, data file or assembly. Generally an ambiguous tag, try and use a more specific one."
validationattribute,Used for classes Validation Attribute Classes in .NET within the System.ComponentModel.DataAnnotations namespace
text-processing,Mechanizing the creation or manipulation of electronic text.
chicken-scheme,CHICKEN is a compiler for the Scheme programming language.
jstack,Java Virtual Machine (JVM) Stack Trace dumper tool.
nvm-windows,NVM for Windows is the npm/Google/Microsoft recommended Node.js version manager for Windows. Questions relative to this utility should use the nvm-windows tag.
css-calc,"calc() is a native CSS way to do simple math right in CSS as a replacement for any length value (or pretty much any number value). It has four simple math operators: add (+), subtract (-), multiply (*), and divide (/). "
nvm,Node Version Manager - Simple bash script to manage multiple active node.js versions
ner,"Named Entity Recognition (NER) involves pulling out specific entities like persons, organization, or places from natural language text. "
cortex-m,"For all ARM Cortex-M series cores, including M0, M0+, M1, M3, M4, M7, M23 and M33."
apache-httpcomponents,A Java library for interacting with HTTP services. 
timeval,
errorbar,"Error bars are a graphical representation of the variability of data and are used on graphs to indicate the error, or uncertainty in a reported measurement."
react-refresh,
cosine-similarity,"Cosine similarity is a measure of similarity between two vectors of an inner product space that measures the cosine of the angle between them. It is a popular similarity measure between two vectors because it is calculated as a normalized dot product between the two vectors, which can be calculated with simple mathematical operations."
leveldb,"LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.

"
metro-bundler,"Metro is a JavaScript bundler. It takes in an entry file and various options, and gives you back a single JavaScript file that includes all your code and its dependencies."
azure-sdk-for-java,
express-rate-limit,
event-arc,
esp8266wifi,
grpc-java,Java version of general RPC (Remote Procedure Call) framework over HTTP/2.
keyboard-shortcuts,Keyboard shortcuts provide quick access to application or system actions via combinatorial key presses.
multer,Multer is a node.js component used to handle multipart/form-data uploads.
symfony-forms,"The Symfony form component is a standalone library that can be used outside of Symfony projects.

"
swiper,Mobile touch slider &amp; framework with hardware accelerated transitions
parallel.foreach,Parallel.ForEach() is a .Net method for processing a collection in parallel.
gitlens,
azure-application-gateway,
typegraphql,"TypeGraphQL is a library that provides you some decorators, and you can use these decorators to define your parts of schema."
mediarecorder,"Mediarecorder is the Android class used for recording Audio and Video available since API Level 1.  (For the Web-API, use the [web-mediarecorder] tag instead.)"
rayon,"A Rust data-parallelism library that makes it easy to convert sequential computations into parallel

Rayon is lightweight and convenient for introducing parallelism into existing code. It guarantees data-race free executions and takes advantage of parallelism when sensible, based on work-load at runtime."
tail-call-optimization,"A tail-call optimization is when a function returns directly the result of a called function, to avoid allocating a new stack frame. It is especially useful in recursive functions."
istream,"In C++ std::istream is the base class for input streams.
"
django-validation,django-validation refers to form and field validation tools provided by Django out of the box
localnotification,A Cordova/PhoneGap plugin to create local notifications on iOS devices using hybrid apps
packaging,Packaging is a configuration management process involved with capturing the knowledge needed to install or uninstall software on a target system.
wing-ide,"Wing IDE is an integrated development environment for Python, made by Wingware and available both in free and paid editions."
dummy-variable,"Dummy or indicator variables are used to include categorical or qualitative variables or factors into a regression model in R programming language for statistical computing, bioinformatics, and graphics."
ckeditor,CKEditor is an ecosystem of Open Source rich text editors with support for real-time collaboration. Use this tag together with the [ckeditor4] and [ckeditor5] tags to indicate the editor version.
safari-web-inspector,"The Web Inspector allows you to view the page source, live DOM hierarchy, script debugging, profiling and more! "
dump,"Recording the contents of memory after application or operating system failure, or by operator request, in a core dump for use in subsequent problem analysis. Also, recording a file or medium as a backup."
xcode,"Xcode is Apple&#39;s integrated development environment (IDE). USAGE NOTE: Use this tag only for questions about the Xcode IDE itself, and not for general Mac or iOS programming topics. Use [cocoa] for Mac programming questions, and [cocoa-touch] or [iOS] or [Swift] for iOS programming questions."
redis-cluster,"Redis Cluster provides a way to run a Redis installation where data is automatically sharded across multiple Redis nodes.
"
dropout,Dropout is a technique to reduce overfitting during the training phase of a neural network.
mobile-development,This tag should be used for questions about software development aimed specifically at the mobile environment but not directed at a specific mobile environment such as iOS or Android.
uint,is a type of variable and is used to store the equivalent of a mathematical non-negative integer 
tshark,tshark is the command line version of wireshark; a free and open-source packet analyzer.
struct-member-alignment,
decompiling,Decompilers analyze binary code outputting source code in a higher level language such as C.  The output is generally not any easier to analyze than the original assembler due to loss of information during compilation.
sim800,The SIM800 is a complete Quad-band GSM/GPRS solution in a SMT module which can be embedded in the customer applications. It is the successor of the SIMCom [tag:sim900].
modifier,
azure-devtest-labs,"For questions about Microsoft Azure DevTest Labs, for provisioning self-service dev/test environments on Azure. DevTest Labs has tools for setting policies on the kinds and sizes of VMs that can be created, for customising them with additional installation scripts, and for controlling costs and user access to the resulting dev/test environments."
accounting,"Systematic recording, reporting, and analysis of financial transactions of a business."
.net-standard,The .NET Standard is a formal specification of .NET APIs that are intended to be available on all .NET runtimes. The motivation behind the .NET Standard is establishing greater uniformity in the .NET ecosystem. Consider tagging a more specific version of .NET Standard in your question.
mediabrowserservicecompat,
microsoft-sync-framework,The Microsoft Sync Framework enables data synchronization in .NET applications in a hub-and-spoke or peer-to-peer relation. It uses metadata to synchronize datasets from different sources and formats to subscribers.
whitespace,"Whitespace, or white space, is often used to refer to any combination of spaces, tabs, and new lines which create blank space between text, either horizontally or vertically."
setstate,Use for questions relating to the [setstate] method and component/widget state management in [reactjs] and [flutter].
block-device,"A block device is a computer data storage device.  It organizes data into fixed sized blocks that are  typically 512 or 4096 bytes long.  Data is indexed by a logical block address.  Block storage devices are widely available, including spinning hard drives or solid-state devices.  They may be used directly by applications or may have a filesystem or other data structure layered on top of them."
go-templates,Go language supports built-in template functionality. Packages with this support include 1) text/template and; 2) html/template.
nginx-reverse-proxy,"When a reverse proxy proxies a request, it sends the request to a specified proxied server (http or other), fetches the response, and sends it back to the client, as if it came from the reverse proxy itself. "
flutter-text,
node-promisify,For questions specific to the node.js built-in utility function: util.promisify(). When using this tag also include the more generic [node.js] tag.
android-dialog,Base class for Dialogs. A dialog in Android is a small window that prompts the user to make a decision or enter additional information. A dialog does not fill the screen and is normally used for modal events that require users to take an action before they can proceed.
google-cloud-kms,"This tag is for questions about Google Cloud KMS, a Google Cloud Platform service which allows developers to store and make use of encryption keys to secure data."
linux-distro,"Linux distributions are Unix-like operating systems consisting of the Linux kernel and a large collection of system software and applications such as word processors, spreadsheets, media players, and databases."
apache-spark,Apache Spark is an open source distributed data processing engine written in Scala providing a unified API and distributed data sets to users for both batch and streaming processing. Use cases for Apache Spark often are related to machine/deep learning and graph processing. 
cucumber-jvm,"Cucumber-JVM is a Cucumber implementation for the most popular JVM languages. Cucumber-JVM currently supports Java. There are also implementations for the following JVM languages, but as of version 2.1.0, they are unsupported:

    Groovy
    Scala
    Clojure
    Jython
    JRuby
    Rhino JavaScript
    Gosu
"
capturing-group,Capturing groups are regular expression constructs that makes use of capturing in regex to capture parts of the matched string during a match sequence in the regexp pattern.
terraform-provider-aws,Terraform Provider for AWS.
loopback4,Questions about Loopback version 4. Use this tag for Loopback questions which are specific to only version 4. General Loopback questions should be tagged with loopbackjs.
jquery-terminal,JQuery Terminal Emulator is a plugin for creating command line interpreters in your applications.
implicit-conversion,"Converting an object, variable or value from one type to another to satisfy a type restriction, without specifically requesting that conversion through language syntax.  "
powershell-7.0,"Use this tag for version specific questions about Windows PowerShell version 7.0. When using this tag also include the more generic [powershell] tag where possible. For general PowerShell topics, use the [powershell] tag. "
ransac,"RANSAC is an abbreviation for &quot;RANdom SAmple Consensus&quot;. It is an iterative method to estimate parameters of a mathematical model from a set of observed data which contains outliers. 
 It is a non-deterministic algorithm in the sense that it produces a reasonable result only with a certain probability, with this probability increasing as more iterations are allowed."
shopware6,
sparse-checkout,A working copy of version controlled code which doesn&#39;t include the whole repository.
categories,Categories are groupings of information.
xadisk,XADisk enables transactional access to existing file systems by providing APIs to perform file/directory operations
listview,A ListView is a graphical screen control or widget provided by UI libraries in a majority of modern operating systems to show items in a list form.
overload-resolution,"Overload resolution is a language mechanism to select among several viable function overloads. Its rules are intricate and often surprising, even for experienced users."
cgi,1) The Common Gateway Interface is a standard defining how web server software can delegate web page generation to a stand-alone application or executable file. 2) Computer Generated Imagery
precision-recall,"Precision and Recall are statistical measures of performance for information retrieval algorithms based on binary classification. Precision is a measure of the percent of all classifications (items retrieved) that are relevant. Recall is a measure of the percent of relevant classifications (items retrieved) successfully  found by the algorithm, relative to all relevant items that exist and could have been found."
